2 840 Fri Mar 03 21:32:00 2006

sim/aircraft/acf_struct	int[10]	y	Pointers	Pointers to the individual aircraft structures.
sim/aircraft/controls/acf_min_trim_ailn	float	y	???	???
sim/aircraft/controls/acf_max_trim_ailn	float	y	???	???
sim/aircraft/controls/acf_ailn_trim_speedrat	float	y	???	???
sim/aircraft/controls/acf_ailn_tab	float	y	???	???
sim/aircraft/controls/acf_min_trim_rudd	float	y	???	???
sim/aircraft/controls/acf_max_trim_rudd	float	y	???	???
sim/aircraft/controls/acf_rudd_trim_speedrat	float	y	???	???
sim/aircraft/controls/acf_rudd_tab	float	y	???	???
sim/aircraft/gear/acf_gear_retract	int	y	???	???
sim/aircraft/gear/acf_is_taildragger	int	y	???	???
sim/aircraft/gear/acf_gear_is_skid	int	y	???	???
sim/aircraft/gear/acf_nw_steerdeg1	float	y	???	???
sim/aircraft/gear/acf_nw_steerdeg2	float	y	???	???
sim/aircraft/gear/acf_nw_cutoff_speed	float	y	???	???
sim/aircraft/gear/acf_water_rud_longarm	float	y	???	???
sim/aircraft/gear/acf_water_rud_area	float	y	???	???
sim/aircraft/gear/acf_water_rud_maxdef	float	y	???	???
sim/aircraft/gear/acf_h_eqlbm	float	y	???	???
sim/aircraft/gear/acf_the_eqlbm	float	y	???	???
sim/aircraft/gear/acf_gear_door_typ	int[10]	y	      	???
sim/aircraft/gear/acf_gear_door_loc	float[30]	y	???	door location (for reference-point of door)
sim/aircraft/gear/acf_gear_door_geo	float[120]	y	???	door geo, 4 corners
sim/aircraft/gear/acf_gear_door_axi_rot	float[10]	y	???	door axis of rotation ("heading" of axis)
sim/aircraft/gear/acf_gear_door_ext_ang	float[10]	y	???	door extended angle
sim/aircraft/gear/acf_gear_door_ret_ang	float[10]	y	??? door retracted angle	???
sim/aircraft/gear/acf_gear_door_ang_now	float[10]	y	???	door current angle, not in flite since it is geo and this is a nice place to keep all the door geo.
sim/aircraft/weight/acf_cgY	float	y	???	???
sim/aircraft/weight/acf_cgZ	float	y	???	???
sim/aircraft/weight/acf_Jxx_unitmass	float	y	???	???
sim/aircraft/weight/acf_Jyy_unitmass	float	y	???	???
sim/aircraft/weight/acf_Jzz_unitmass	float	y	???	???
sim/aircraft/weight/acf_m_empty	float	y	???	???
sim/aircraft/weight/acf_m_displaced	float	y	???	???
sim/aircraft/weight/acf_m_max	float	y	???	???
sim/aircraft/weight/acf_m_fuel_tot	float	y	lbs	Weight of total fuel - appears to be in lbs.
sim/aircraft/weight/acf_m_jettison	float	y	???	???
sim/aircraft/weight/acf_m_displaced_y	float	y	???	???
sim/aircraft/specialcontrols/acf_jato_theta	float	y	???	???
sim/aircraft/specialcontrols/acf_jato_thrust	float	y	???	???
sim/aircraft/specialcontrols/acf_jato_dur	float	y	???	???
sim/aircraft/specialcontrols/acf_jato_sfc	float	y	???	???
sim/aircraft/specialcontrols/acf_jato_Y	float	y	???	???
sim/aircraft/specialcontrols/acf_jato_Z	float	y	???	???
sim/aircraft/specialcontrols/acf_brake_area	float	y	???	???
sim/aircraft/specialcontrols/acf_brake_Y	float	y	???	???
sim/aircraft/specialcontrols/acf_brake_Z	float	y	???	???
sim/aircraft/specialcontrols/acf_chute_area	float	y	???	???
sim/aircraft/specialcontrols/acf_chute_Y	float	y	???	???
sim/aircraft/specialcontrols/acf_chute_Z	float	y	???	???
sim/aircraft/specialcontrols/acf_ail1pitch	float	y	???	???
sim/aircraft/specialcontrols/acf_ail1flaps	float	y	???	???
sim/aircraft/specialcontrols/acf_ail2pitch	float	y	???	???
sim/aircraft/specialcontrols/acf_ail2flaps	float	y	???	???
sim/aircraft/specialcontrols/acf_stabroll	float	y	???	???
sim/aircraft/specialcontrols/acf_stabhdng	float	y	???	???
sim/aircraft/specialcontrols/acf_ail2vmax	float	y	???	???
sim/aircraft/specialcontrols/acf_tvec_ptch	float	y	???	???
sim/aircraft/specialcontrols/acf_tvec_roll	float	y	???	???
sim/aircraft/specialcontrols/acf_tvec_hdng	float	y	???	???
sim/aircraft/specialcontrols/acf_diff_thro_with_hdng	float	y	???	???
sim/aircraft/specialcontrols/acf_arrestingEQ	int	y	???	???
sim/aircraft/specialcontrols/acf_antiiceEQ	int	y	???	???
sim/aircraft/specialcontrols/acf_warn1EQ	int	y	???	???
sim/aircraft/specialcontrols/acf_gearhornEQ	int	y	???	???
sim/aircraft/specialcontrols/acf_autosbrkEQ	int	y	???	???
sim/aircraft/specialcontrols/acf_autofbrkEQ	int	y	???	???
sim/aircraft/specialcontrols/acf_autosweepEQ	int	y	???	???
sim/aircraft/specialcontrols/acf_autoslatEQ	int	y	???	???
sim/aircraft/vtolcontrols/acf_vectEQ	int	y	???	???
sim/aircraft/vtolcontrols/acf_vectarmZ	float	y	???	???
sim/aircraft/vtolcontrols/acf_cyclic_elev	float	y	???	???
sim/aircraft/vtolcontrols/acf_cyclic_ailn	float	y	???	???
sim/aircraft/vtolcontrols/acf_delta3	float	y	???	???
sim/aircraft/vtolcontrols/acf_puffL	float	y	???	???
sim/aircraft/vtolcontrols/acf_puffM	float	y	???	???
sim/aircraft/vtolcontrols/acf_puffN	float	y	???	???
sim/aircraft/vtolcontrols/acf_tail_with_coll	float	y	???	???
sim/aircraft/vtolcontrols/acf_diff_coll_with_roll	float	y	???	???
sim/aircraft/vtolcontrols/acf_diff_coll_with_hdng	float	y	???	???
sim/aircraft/vtolcontrols/acf_diff_cycl_with_hdng_lon	float	y	???	???
sim/aircraft/vtolcontrols/acf_auto_rpm_with_tvec	int	y	???	???
sim/aircraft/vtolcontrols/acf_rotor_trim_max_fwd	float	y	???	???
sim/aircraft/vtolcontrols/acf_rotor_trim_max_aft	float	y	???	???
sim/aircraft/artstability/acf_AShiV	float	y	???	???
sim/aircraft/artstability/acf_ASloV	float	y	???	???
sim/aircraft/artstability/acf_ASmaxp_lo	float	y	???	???
sim/aircraft/artstability/acf_ASp_lo_rate	float	y	???	???
sim/aircraft/artstability/acf_ASmaxp_hi	float	y	???	???
sim/aircraft/artstability/acf_ASp_hi_pos	float	y	???	???
sim/aircraft/artstability/acf_ASmaxh_lo	float	y	???	???
sim/aircraft/artstability/acf_ASh_lo_rate	float	y	???	???
sim/aircraft/artstability/acf_ASmaxh_hi	float	y	???	???
sim/aircraft/artstability/acf_ASh_hi_pos	float	y	???	???
sim/aircraft/artstability/acf_ASmaxr_lo	float	y	???	???
sim/aircraft/artstability/acf_ASr_lo_rate	float	y	???	???
sim/aircraft/artstability/acf_ASmaxr_hi	float	y	???	???
sim/aircraft/artstability/acf_ASr_hi_rate	float	y	???	???
sim/aircraft/artstability/acf_has_clutch	int	y	???	???
sim/aircraft/artstability/acf_has_idlespeed	int	y	???	???
sim/aircraft/overflow/acf_element_len	float[73]	y	???	length of each element... quicker to find once and use over and over when finding element locs.
sim/aircraft/overflow/acf_gear_door_size	float	y	???	size of gear-door editing region
sim/aircraft/overflow/acf_stab_delinc_to_Vne	float	y	???	amount the stab moves in trim automatically as you go to redline.
sim/aircraft/overflow/acf_Vmca	float	y	???	???
sim/aircraft/overflow/acf_Vyse	float	y	???	v-speeds
sim/aircraft/overflow/acf_flap_arm	float	y	???	flapping hinge arm
sim/aircraft/overflow/acf_cgZ_fwd	float	y	???	???
sim/aircraft/overflow/acf_cgZ_aft	float	y	???	cg limits
sim/aircraft/overflow/acf_gear_cyc_time	float[73]	y	???	gear cycle time... different for different gear in some cases, NOTE : This used to be f5 in v6
sim/aircraft/overflow/acf_refuel_X	float	y	???	???
sim/aircraft/overflow/acf_refuel_Y	float	y	???	???
sim/aircraft/overflow/acf_refuel_Z	float	y	???	refueling port location
sim/aircraft/overflow/acf_gear_steers	int[73]	y	???	this gear turns with rudder input
sim/aircraft/overflow/acf_hybrid_gear	int	y	???	this is an indication that we have skids on a plane (legit use is tailskid on a jet, etc), NOTE : This used to be b1 in v6
sim/aircraft/overflow/acf_vardihedEQ	int	y	???	variable dihedral, NOTE : This used to be i57 in v6 - eliminated in 840 - now per wing
sim/aircraft/overflow/acf_dihed2	float[73]	y	???	variable dihedral
sim/aircraft/overflow/acf_dihednow	float[73]	y	???	variable dihedral
sim/aircraft/overflow/jett_X	float	y	???	???
sim/aircraft/overflow/jett_Y	float	y	???	???
sim/aircraft/overflow/jett_Z	float	y	???	???
sim/aircraft/overflow/acf_puffX	float	y	???	???
sim/aircraft/overflow/acf_puffY	float	y	???	???
sim/aircraft/overflow/acf_puffZ	float	y	???	manuevering rocket forces
sim/aircraft/overflow/acf_Vle	float	y	???	Vle
sim/aircraft/overflow/acf_ASp_hi_rate	float	y	???	???
sim/aircraft/overflow/acf_ASh_hi_rate	float	y	???	astab stuff i should have had in there the first time!
sim/aircraft/overflow/acf_spooltime_prop	float	y	???	turboprops have some spool time as well!
sim/aircraft/overflow/acf_elevflaps	float	y	???	elevator align with flaps
sim/aircraft/overflow/acf_tank_X	float[3]	y	???	fuel tank locations
sim/aircraft/overflow/acf_tank_Y	float[3]	y	???	fuel tank locations
sim/aircraft/overflow/acf_tank_Z	float[3]	y	???	fuel tank locations
sim/aircraft/overflow/acf_tank_rat	float[3]	y	???	fuel tank ratio per tank
sim/aircraft/overflow/acf_stall_warn_alpha	float	y	???	alpha of stall warning... user must specify since warning different for different planes.
sim/aircraft/overflow/acf_mass_shift	float	y	???	hang-gliders and wright gliders
sim/aircraft/overflow/acf_mass_shift_dx	float	y	???	hang-gliders and wright gliders
sim/aircraft/overflow/acf_mass_shift_dz	float	y	???	hang-gliders and wright gliders
sim/aircraft/overflow/acf_feathered_pitch	float	y	???	let people decide feathered pitch to get right for their plane.
sim/aircraft/overflow/acf_ASmaxg_hi	float	y	???	astab stuff I should have had in there the first time!
sim/aircraft/overflow/acf_ASg_hi_pos	float	y	???	???
sim/aircraft/overflow/acf_ASg_hi_rate	float	y	???	astab stuff I should have had in there the first time!
sim/aircraft/overflow/acf_wing_tilt_ptch	float	y	???	wing-tilt steering
sim/aircraft/overflow/acf_wing_tilt_roll	float	y	???	wing-tilt steering
sim/aircraft/overflow/acf_max_press_diff	float	y	???	max pressurization of the fuselage
sim/aircraft/overflow/acf_diff_coll_with_ptch	float	y	???	used by x-19
sim/aircraft/overflow/acf_flap_roll	float	y	???	???
sim/aircraft/overflow/acf_flap_ptch	float	y	???	flap actuation... like for reallyh high-lift guys still manuevering at low speeds.
sim/aircraft/overflow/acf_lift_fan_rat	float	y	???	lift fan
sim/aircraft/overflow/acf_diff_cycl_with_hdng_lat	float	y	???	ch-47 chinook performance
sim/aircraft/overflow/acf_phase_tvect_out_at_90	int	y	???	phase thrust-vectoring manuevering in as we go from 90 to 0, going from hover with puffers to f-22 dogfight
sim/aircraft/overflow/acf_roll_co	float	y	???	???
sim/aircraft/overflow/acf_brake_co	float	y	???	rolling and braking
sim/aircraft/overflow/acf_drive_by_wire	int	y	???	engine always runs at optimum mixture... like FADEC or auto conversions.
sim/aircraft/overflow/acf_is_glossy	int	y	???	plane has specularity lighting.
sim/aircraft/overflow/acf_num_tanks	int	y	???	number fuel tanks
sim/aircraft/overflow/acf_has_refuel	int	y	???	refueling port
sim/aircraft/overflow/acf_draw_geo_frnt_views	int	y	???	draw craft geo in front views... turn off to save frame-rate for airliners
sim/aircraft/overflow/acf_draw_geo_side_views	int	y	???	draw craft geo in side  views... WARNING: probably ot a good idea to mod these datarefs!
sim/aircraft/overflow/acf_jett_is_slung	int	y	???	jettisonable load is slung now
sim/aircraft/overflow/acf_eng_mass	float[8]	y	???	mass of each engine for distribution and loss on engine seperation. NOTE : This used to be f57 in v6
sim/aircraft/overflow/acf_phase_tvect_out_at_00	int	y	???	phase thrust-vectoring manuevering out as we go from 90 to 0 deg tvec, going from manuever-to-hover to regular thrust
sim/aircraft/overflow/acf_auto_trimEQ	int	y	???	auto-trim out any flight loads... numerous planes have this.
sim/aircraft/overflow/acf_has_DC_fd	int	y	???	has dual-cue flight-dir
sim/aircraft/overflow/acf_flaps_with_gearEQ	int	y	???	the Jatviggen does flaps with gear automatically
sim/aircraft/overflow/acf_rev_on_touchdown	int	y	???	viggen does this!
